randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;21;22;23;25;27;28
0.05;11.482599999999998;14.120199999999999;14.737400000000001;17.951600000000003;13.9316;13.7552
0.1;24.571600000000004;32.660599999999995;34.11;41.3374;32.2714;31.515199999999993
0.15000000000000002;39.550000000000004;51.44220000000001;54.0338;66.6534;51.6208;50.706999999999994
0.2;54.5222;72.029;76.0318;94.1408;72.479;70.86420000000001
0.25;70.2522;92.69099999999999;98.0698;122.135;93.6404;91.9586
0.30000000000000004;86.10699999999999;114.95559999999999;122.12800000000001;151.8194;116.11040000000001;113.82040000000002
0.35000000000000003;103.0016;136.048;144.6964;181.20120000000003;137.9934;135.5052
0.4;119.59179999999999;157.71319999999997;168.3194;212.0756;160.61599999999999;157.9884
0.45;135.32559999999998;181.11100000000002;193.7414;243.1594;184.52720000000002;181.28840000000002
0.5;152.0562;204.2458;218.73160000000001;274.90779999999995;208.2322;204.54959999999997
0.55;169.5888;227.0706;243.66;306.5978;232.06539999999998;228.313
0.6000000000000001;187.35580000000002;250.15980000000002;269.10239999999993;340.0606;256.46520000000004;251.60139999999998
0.65;203.64540000000002;274.811;296.3026;372.5152;281.08660000000003;276.5786
0.7000000000000001;221.5904;298.8166;322.16919999999993;405.9806;306.00479999999993;301.2142
0.75;238.0392;323.1968;348.344;439.781;331.07179999999994;325.2744
0.8;256.3256;346.8978;375.8858;474.23800000000006;356.50919999999996;350.41859999999997
0.8500000000000001;276.0734;368.721;399.34380000000004;507.8134;379.92760000000004;373.9632
0.9;296.293;391.22780000000006;424.5164;542.5848;404.56140000000005;398.2142
0.9500000000000001;314.2434;416.66900000000004;452.0704;577.1750000000001;430.7742;423.7278
1.0;330.0696;443.581;481.9638;612.6308;457.88520000000005;450.6334
