randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;21;22;23;25;27;28
0.05;11.482599999999998;9.1468;9.995000000000001;8.975800000000001;11.958800000000002;11.418700000000001
0.1;24.571600000000004;20.252399999999998;22.346199999999996;20.6687;27.07;25.398799999999998
0.15000000000000002;39.550000000000004;32.0268;35.6134;33.3267;43.3718;40.645799999999994
0.2;54.5222;44.360800000000005;49.6868;47.0704;60.5374;56.3533
0.25;70.2522;56.9714;64.0116;61.0675;78.1378;72.82990000000001
0.30000000000000004;86.10699999999999;70.06099999999999;79.1828;75.9097;96.5486;89.6693
0.35000000000000003;103.0016;83.2288;94.2524;90.60060000000001;115.0341;106.71930000000003
0.4;119.59179999999999;96.48759999999999;109.6334;106.0378;133.8673;124.2503
0.45;135.32559999999998;109.98;125.3644;121.5797;153.28300000000002;141.8455
0.5;152.0562;123.71379999999999;141.3388;137.45389999999998;172.7236;159.70940000000002
0.55;169.5888;137.4792;157.4066;153.2989;192.46499999999997;178.0015
0.6000000000000001;187.35580000000002;151.4612;173.83259999999999;170.0303;212.7802;196.0451
0.65;203.64540000000002;165.4126;190.28760000000003;186.2576;232.51449999999997;214.55730000000003
0.7000000000000001;221.5904;179.77;207.03379999999999;202.9903;252.9742;233.4647
0.75;238.0392;193.9962;223.5066;219.8905;273.587;251.8657
0.8;256.3256;208.2674;240.925;237.11900000000003;294.55379999999997;271.03729999999996
0.8500000000000001;276.0734;222.578;257.41080000000005;253.9067;314.8992;289.8057
0.9;296.293;237.1748;274.75059999999996;271.2924;335.7899;309.1825
0.9500000000000001;314.2434;251.97519999999997;292.018;288.58750000000003;357.3586;328.4052
1.0;330.0696;266.4762;309.5068;306.3154;378.7371;347.91689999999994
