randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;0;12;24;25;27;28
2;0.0;0.0;0.0;0.0;0.5;0.5
4;0.7000000000000001;0.7;0.7;1.05;1.2;1.2
8;1.7000000000000002;1.6999999999999997;1.65;2.4;2.35;2.175
16;2.9499999999999997;2.8499999999999996;2.7875000000000005;3.8875;3.425;3.325
32;4.21875;4.225;4.30625;5.487500000000001;4.65;4.44375
64;5.71875;5.853125;5.640625;7.30625;6.06875;5.928125
128;7.1171875;7.271875;7.7109375;9.25625;8.0421875;7.539062500000001
256;8.5140625;8.88671875;9.49375;11.43515625;10.021093749999999;9.26484375
512;9.794140624999999;10.58046875;11.392968750000001;13.814453125;11.7703125;10.95703125
1024;11.165820312500001;12.262890625;13.543359375000001;16.4009765625;13.84765625;12.802734375
2048;12.432226562499999;14.002832031250001;15.765039062500001;19.240917968749997;15.870019531249998;14.64453125
4096;13.6876953125;15.68193359375;17.8177734375;22.133447265625;17.894775390625;16.560449218749998
8192;14.9407958984375;17.3733642578125;20.042236328125;25.2339599609375;19.9697021484375;18.4259521484375
16384;16.19970703125;19.105859374999998;22.20814208984375;28.5053466796875;22.0305908203125;20.37755126953125
32768;17.449249267578125;20.8566650390625;24.412933349609375;31.91397094726562;24.054437255859376;22.321545410156247
65536;18.690426635742188;22.58701171875;26.575216674804686;35.43262023925781;26.087411499023435;24.246368408203125
131072;19.932070922851562;24.33232116699219;28.71440734863281;39.052798461914065;28.07614898681641;26.205979919433595
