randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;0;12;24;25;27;28
2;0.0;0.0;0.0;0.0;0.5;0.5
4;0.7000000000000001;0.6;0.6;0.525;1.2;1.2
8;1.7000000000000002;1.2750000000000001;1.2500000000000002;1.2;2.1374999999999997;2.0749999999999997
16;2.9499999999999997;2.15;2.1;1.94375;3.05;3.0312500000000004
32;4.21875;2.9749999999999996;3.125;2.7437500000000004;4.04375;3.9187499999999997
64;5.71875;3.946875;3.9406250000000003;3.653125;5.234375;5.1453125
128;7.1171875;4.7671874999999995;5.278124999999999;4.628125;6.846093750000001;6.399218749999999
256;8.5140625;5.703125;6.4;5.717578125;8.453125;7.638671875
512;9.794140624999999;6.6;7.5859375;6.9072265625;9.8357421875;8.8353515625
1024;11.165820312500001;7.473632812499999;8.88359375;8.20048828125;11.49541015625;10.0962890625
2048;12.432226562499999;8.372753906249999;10.21123046875;9.620458984374999;13.093164062500001;11.344091796874999
4096;13.6876953125;9.225390625;11.4517578125;11.0667236328125;14.7017822265625;12.6386962890625
8192;14.9407958984375;10.085498046875;12.762207031249998;12.61697998046875;16.311157226562504;13.89627685546875
16384;16.19970703125;10.961364746093748;14.0529296875;14.25267333984375;17.94031982421875;15.20716552734375
32768;17.449249267578125;11.841192626953125;15.3550537109375;15.95698547363281;19.532754516601564;16.50665283203125
65536;18.690426635742188;12.710006713867188;16.631808471679687;17.716310119628904;21.128132629394532;17.79249267578125
131072;19.932070922851562;13.583248901367188;17.89861145019531;19.526399230957033;22.696173095703127;19.09903030395508
