randomness parameter value;Pairing;Smooth;Smooth18
randomness parameter value;0;12;14
2;0.5;1.0;0.5
4;1.35;1.6;1.15
8;2.025;2.6999999999999997;2.1500000000000004
16;3.5125;4.050000000000001;3.3875
32;5.05;5.3125;4.5625
64;6.4624999999999995;6.878125000000001;6.05625
128;7.93125;8.309375;7.4609375
256;9.46328125;9.95703125;9.011718750000002
512;10.770703125;11.534765625;10.562890625
1024;12.1029296875;13.253320312500001;12.276562499999999
2048;13.376953125;14.994335937499999;13.99287109375
4096;14.676660156250001;16.67939453125;15.68359375
8192;15.946264648437499;18.4197021484375;17.4177490234375
16384;17.20384521484375;20.120104980468753;19.1246826171875
