randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy
randomness parameter value;0;12;24;25
2;0.0;0.0;0.0;0.0
4;0.6625;0.5625000000000001;0.5625000000000001;0.9999999999999999
8;1.16875;1.1937499999999996;1.1937499999999996;2.2625
16;1.6906250000000003;1.6875000000000002;1.6875000000000002;3.437499999999999
32;2.2906250000000004;2.1968750000000004;2.2;4.478125
64;2.5546875;2.4359374999999996;2.446875;5.007812500000001
128;2.86171875;2.707421874999999;2.7230468750000005;5.490234374999999
256;2.9707031250000004;2.9431640624999997;2.9523437499999994;5.791992187499999
512;3.1027343750000003;3.07919921875;3.0826171874999995;5.9236328125
1024;3.2530761718749996;3.1953613281249997;3.189013671875;6.023486328125
2048;3.328564453125;3.2654052734375;3.2565429687500003;6.06748046875
4096;3.3864013671875006;3.313415527343751;3.30728759765625;6.09251708984375
8192;3.420355224609375;3.3319396972656254;3.3238342285156244;6.10968017578125
16384;3.47913818359375;3.3684020996093755;3.359100341796875;6.137432861328126
32768;3.493150329589844;3.3841323852539062;3.3723007202148434;6.145620727539062
65536;3.5034667968749993;3.3950157165527344;3.382308959960937;6.129869842529296
131072;3.5286376953124994;3.4037410736083986;3.3907447814941407;6.137394332885742
