randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy
randomness parameter value;0;12;24;25
2;0.0;0.0;0.0;0.0
4;0.6625;0.5375000000000002;0.5375000000000002;0.49999999999999994
8;1.16875;0.95;0.95;1.13125
16;1.6906250000000003;1.3031249999999999;1.3031249999999999;1.7187499999999996
32;2.2906250000000004;1.5828125;1.5734375;2.2390625
64;2.5546875;1.715625;1.6859375000000003;2.5039062500000004
128;2.86171875;1.8941406250000001;1.8617187499999999;2.7451171874999996
256;2.9707031250000004;2.0062499999999996;1.9507812500000001;2.8959960937499996
512;3.1027343750000003;2.0888671875;2.0204101562499996;2.96181640625
1024;3.2530761718749996;2.13681640625;2.0554687499999997;3.0117431640625
2048;3.328564453125;2.1627197265625;2.0774169921875;3.033740234375
4096;3.3864013671875006;2.1831420898437504;2.0942138671875004;3.046258544921875
8192;3.420355224609375;2.193377685546875;2.1012634277343754;3.054840087890625
16384;3.47913818359375;2.205474853515625;2.1112091064453122;3.068716430664063
32768;3.493150329589844;2.2121337890625;2.1137924194335938;3.072810363769531
65536;3.5034667968749993;2.215990447998047;2.117042541503906;3.064934921264648
131072;3.5286376953124994;2.2177860260009763;2.118092727661133;3.068697166442871
