randomness parameter value;Pairing;Smooth
randomness parameter value;0;12
2;0.0;0.0
4;0.65;0.6375
8;1.23125;1.2812499999999998
16;1.6718750000000004;1.7125000000000001
32;2.2546875;2.109375
64;2.5328125;2.51640625
128;2.7156249999999997;2.7628906250000003
256;3.0244140624999996;2.932421875
512;3.17080078125;3.091015625
1024;3.230126953125;3.182617187499999
2048;3.3331298828125;3.2513427734374996
4096;3.3716308593749997;3.2977294921875004
8192;3.4386779785156256;3.3528076171875
16384;3.4799468994140628;3.3715332031249994
32768;3.4966629028320315;3.3828002929687506
65536;3.5240753173828128;3.3962371826171878
131072;3.5682422637939446;3.4042907714843755
