randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;0;12;24
1900;7.153065;6.05814;6.10638
1800;7.220275;6.125749999999999;6.184085
1700;7.257635;6.1938;6.236489999999999
1600;7.391990000000002;6.326405;6.41053
1500;7.509505000000001;6.47197;6.5726700000000005
1400;7.581990000000001;6.570784999999998;6.651484999999999
1300;7.837345000000001;6.931944999999999;7.048145
1200;7.924210000000001;7.0518550000000015;7.172499999999999
1100;8.034790000000001;7.172065;7.318725
1000;8.206145;7.39088;7.56936
900;8.479135000000001;7.776070000000001;7.976265
800;8.662115;7.995735;8.261940000000001
700;8.863864999999999;8.280320000000001;8.56643
600;9.13595;8.625425;8.981399999999999
500;9.422649999999999;9.01364;9.44304
400;9.834005000000001;9.57885;10.134455
300;10.352394999999998;10.286950000000001;11.004845
200;11.020954999999999;11.196654999999998;12.148670000000001
100;12.138380000000002;12.756085;14.14317
