randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;0;12;24
1900;7.153065;4.109310000000001;4.242609999999999
1800;7.220275;4.152085;4.294115
1700;7.257635;4.198955;4.33525
1600;7.391990000000002;4.272915;4.447325
1500;7.509505000000001;4.3566650000000005;4.54668
1400;7.581990000000001;4.411449999999999;4.59764
1300;7.837345000000001;4.6216;4.855535000000001
1200;7.924210000000001;4.686185;4.930525000000001
1100;8.034790000000001;4.7547749999999995;5.025485000000001
1000;8.206145;4.88674;5.19118
900;8.479135000000001;5.094884999999999;5.4413800000000005
800;8.662115;5.22276;5.627315
700;8.863864999999999;5.378835;5.821145
600;9.13595;5.568364999999999;6.07888
500;9.422649999999999;5.77793;6.364665
400;9.834005000000001;6.082489999999999;6.7924750000000005
300;10.352394999999998;6.457979999999999;7.324980000000001
200;11.020954999999999;6.935074999999998;8.020215
100;12.138380000000002;7.746515;9.222365000000002
