randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;0;12;24
2;0.0;0.0;0.0
4;0.65;0.65;0.65
8;1.6500000000000001;1.35;1.375
16;3.0125;2.2125;2.25
32;4.36875;3.0625;3.05
64;5.65;3.884375;4.196875
128;7.096875000000001;4.7671875;5.2859375
256;8.50234375;5.71640625;6.362500000000001
512;9.79140625;6.567187499999999;7.5972656249999995
1024;11.1201171875;7.4564453125;8.886328125
2048;12.4150390625;8.36669921875;10.220214843749998
4096;13.6927734375;9.22490234375;11.449951171875
8192;14.946044921875002;10.1025146484375;12.78759765625
16384;16.199816894531253;10.967944335937501;14.073291015625003
32768;17.454876708984376;11.833294677734376;15.348345947265624
65536;18.695001220703126;12.709674072265624;16.62651672363281
131072;19.936421203613282;13.584622192382811;17.89972839355469
